"time","pop"
"2016-12-28T07:20:22.392398",13780
"2016-12-28T07:21:22.782347",13735
"2016-12-28T07:22:23.195780",13684
"2016-12-28T07:23:23.719381",13662
"2016-12-28T07:24:24.764253",13634
"2016-12-28T07:25:28.233778",13603
"2016-12-28T07:26:28.645741",13555
"2016-12-28T07:27:32.093256",13536
"2016-12-28T07:28:32.473943",13453
"2016-12-28T07:29:32.869831",13420
"2016-12-28T07:30:33.275226",13396
"2016-12-28T07:31:33.707108",13349
"2016-12-28T07:32:34.202040",13291
"2016-12-28T07:33:34.720999",13252
"2016-12-28T07:34:35.090222",13238
"2016-12-28T07:35:35.468544",13201
"2016-12-28T07:36:35.834194",13224
"2016-12-28T07:37:36.309251",13212
"2016-12-28T07:38:39.695961",13181
"2016-12-28T07:39:40.119013",13160
"2016-12-28T07:40:40.546880",13121
"2016-12-28T07:41:41.083260",13066
"2016-12-28T07:42:41.492053",13041
"2016-12-28T07:43:41.857661",12980
"2016-12-28T07:44:42.242653",12898
"2016-12-28T07:45:42.678991",12824
"2016-12-28T07:46:43.048537",12817
"2016-12-28T07:47:43.482235",12776
"2016-12-28T07:48:43.880809",12750
"2016-12-28T07:49:47.314511",12708
"2016-12-28T07:50:47.683935",12690
"2016-12-28T07:51:48.059376",12653
"2016-12-28T07:52:48.405112",12600
